postcode_sector,network,outage_type,outage_count,total_customers_affected,time_off_supply_hours_total_approx
GU51 3,SEPD,LV,9,42,55.2
AB31 4,SHEPD,"HV,LV,PSI",21,865,55.12
SN5 6,SEPD,LV,7,371,55.09
BH23 6,SEPD,"HV,LV,PSI",12,387,54.67
GU46 6,SEPD,LV,4,148,54.28
BH1 1,SEPD,"HV,LV",6,1347,54.1
BH23 7,SEPD,PSI,11,149,54.06
SN10 4,SEPD,"HV,PSI",12,455,53.93
DT3 6,SEPD,LV,7,134,53.27
KY13 0,SHEPD,PSI,23,1248,53.19
RG42 3,SEPD,"LV,PSI",18,2608,53.08
BA9 8,SEPD,"HV,PSI",29,3492,52.68
GL7 7,SEPD,"HV,PSI",14,1602,52.68
IV30 8,SHEPD,"HV,LV,PSI",33,1202,52.44
UB8 1,SEPD,LV,28,580,52.04
PO20 7,SEPD,"LV,PSI",22,870,51.84
BH23 2,SEPD,"HV,LV,PSI",14,345,51.67
OX49 5,SEPD,"HV,PSI",38,6915,51.53
OX10 9,SEPD,HV,7,1925,51.31
BH8 9,SEPD,"HV,LV",63,1903,50.63
DD4 6,SHEPD,LV,14,518,50.26
RG9 3,SEPD,LV,16,208,49.84
DT4 0,SEPD,HV,14,3892,49.84
BH15 4,SEPD,"HV,LV",27,25810,49.7
GU28 0,SEPD,"LV,PSI",16,1218,49.08
BH16 5,SEPD,"HV,LV,PSI",220,753977,48.79
SP4 7,SEPD,"LV,PSI",13,399,48.78
BA8 0,SEPD,"LV,PSI",10,1165,48.68
GU32 3,SEPD,"HV,PSI",13,1217,48.6
OX29 8,SEPD,PSI,11,1727,48.29
SN3 5,SEPD,LV,6,162,47.82
SO16 2,SEPD,LV,11,484,47.41
SO19 8,SEPD,LV,6,258,47.1
OX14 3,SEPD,"HV,LV,PSI",47,164010,46.89
RG27 0,SEPD,"HV,LV",20,2338,46.73
OX27 8,SEPD,"HV,PSI",12,710,46.21
PH13 9,SHEPD,"LV,PSI",6,84,46.13
PH2 7,SHEPD,"LV,PSI",16,360,45.9
GU8 5,SEPD,PSI,8,370,45.84
PO21 3,SEPD,LV,12,300,45.58
HS2 0,SHEPD,"HV,LV,PSI",36,5198,45.57
IV14 9,SHEPD,"HV,LV",17,1566,45.48
RG9 6,SEPD,"HV,LV,PSI",34,4328,45.16
HP9 2,SEPD,LV,8,78,44.85
PO8 8,SEPD,LV,7,90,44.73
SP7 9,SEPD,PSI,7,168,44.68
W4 2,SEPD,LV,21,558,44.55
SN3 2,SEPD,LV,5,125,44.2
SO41 0,SEPD,"LV,PSI",8,109,44.16
OX4 2,SEPD,LV,4,76,44.04
OX14 2,SEPD,"LV,PSI",28,1071,43.86
SN3 6,SEPD,HV,6,720,43.7
SO52 9,SEPD,"LV,PSI",14,456,43.63
OX12 0,SEPD,LV,5,80,42.9
BH17 7,SEPD,"LV,PSI",14,483,42.88
SN4 9,SEPD,"HV,PSI",11,467,42.61
PH10 6,SHEPD,"LV,PSI",26,435,42.13
PH33 7,SHEPD,"HV,LV,PSI",35,1668,42.04
UB3 1,SEPD,LV,13,321,41.09
